1	465	VUp	1465
2	253094	nII	1094
3	55629	swJ	629
4	350097	j2U	97
5	265005	IWS	5
6	429403	OVd	403
7	394851	O6D	851
8	409789	jos	789
9	300201	Fog	201
10	321468	tV9	968
11	28361	l13	1361
12	104504	EWG	1004
13	49978	6Tq	478
14	386203	W5a	703
15	278588	UvW	1088
16	332811	0ba	811
17	383126	s48	126
18	239124	44U	1124
19	491617	eBM	117
20	291876	9jS	876
21	124216	6MY	1216
22	470525	ekS	25
23	407636	CX8	136
24	341503	LFo	503
25	286093	5nr	93
26	433730	XdD	230
27	125351	d1Y	1351
28	270019	kSZ	1019
29	202586	zlp	1086
30	146191	Avp	1191
31	418659	wQ4	659
32	161378	0FX	378
33	436851	mAL	851
34	353931	GB8	431
35	160781	pSx	1281
36	484940	AXy	940
37	65165	R5N	165
38	96764	CJK	764
39	436491	lcV	991
40	25381	JJf	881
41	170007	cer	1007
42	180852	ZGX	352
43	272778	ZMt	278
44	352986	VVl	986
45	374843	R5J	1343
46	460169	yLS	1169
47	422255	tf5	755
48	96877	MP5	1377
49	113417	1T8	1417
50	29478	TXI	478
51	227972	TPc	472
52	443025	Ymm	1025
53	415133	bnK	633
54	291037	Bb3	537
55	67517	WVs	1017
56	189538	0LT	38
57	72382	bEs	882
58	352872	59S	872
59	332705	7JQ	1205
60	162211	1TS	711
61	289406	KKv	406
62	339397	wY9	897
63	390005	4wz	1005
64	145641	wEl	641
65	264251	Zhd	1251
66	474846	G7A	1346
67	96258	eAS	1258
68	298058	vhS	58
69	460451	HxT	1451
70	56734	zeh	234
71	42484	c3j	484
72	213520	Il9	20
73	245925	wCp	1425
74	80686	0t4	186
75	345008	gpH	1008
76	220136	Rmz	136
77	16492	I2T	992
78	172765	8xo	765
79	321462	Dnz	1462
80	154539	DOd	539
81	315443	xSd	1443
82	317054	kSa	54
83	94217	M6d	717
84	160160	qPu	160
85	141508	FH2	1008
86	23368	GcE	868
87	301452	p8y	1452
88	388545	LVu	545
89	447602	htm	602
90	82222	lV8	1222
91	171849	inK	849
92	321729	6tx	229
93	462350	1nJ	350
94	320556	Jx4	1056
95	107613	dvs	613
96	465638	QVp	638
97	395533	NRw	33
98	319069	Xns	569
99	349015	0FA	15
100	74624	h59	124
101	306279	PxP	279
102	250765	WyD	765
103	226935	37Q	935
104	126586	tup	586
105	350684	FbT	1184
106	265582	7JR	582
107	392079	lqg	79
108	312500	C74	500
109	247062	j44	1062
110	263812	Eb7	1312
111	111415	tcz	915
112	304597	1Sv	97
113	126233	KIz	733
114	297633	knk	1133
115	130503	pmJ	3
116	379885	iub	885
117	393343	lnM	843
118	2924	uQc	1424
119	126517	NkQ	1017
120	413001	SOK	501
121	409608	sUC	1108
122	380138	nR9	638
123	414739	icA	239
124	397142	zTC	142
125	356186	VJ2	686
126	395154	RTg	154
127	300272	MlV	272
128	367523	Dmz	1023
129	147439	Wsz	939
130	126424	br8	424
131	170072	5Ty	572
132	453275	nxL	775
133	227074	HOm	74
134	3049	hfc	1049
135	101915	AkP	915
136	81367	BYN	367
137	429688	OPv	188
138	38223	xK6	223
139	357039	HWG	39
140	444076	Wil	1076
141	195952	ADV	952
142	254346	5mr	346
143	294810	WM7	810
144	272070	qPN	1070
145	163467	v2u	1467
146	161034	yKX	1034
147	369294	Clb	794
148	445648	qQ1	1148
149	128097	foO	597
150	422105	NCe	605
151	231968	vQh	468
152	312899	xRK	399
153	307021	Q8N	21
154	285718	gAK	718
155	124420	nKI	920
156	376299	w82	1299
157	61995	NMx	995
158	212754	vSL	754
159	342692	rW7	192
160	207120	tP1	1120
161	81668	zpU	168
162	392322	R6V	822
